ID,Location,Language,NumberOfSpeakers
1,Alabama,Total Alabama,2284922
1,Alabama,N/A (GQ/vacant),387350
1,Alabama,Jamaican Creole English,140
1,Alabama,Other English-based Creole languages,0
1,Alabama,Haitian,844
1,Alabama,Kabuverdianu,0
1,Alabama,German,6264
1,Alabama,Swiss German,0
1,Alabama,Pennsylvania German,61
1,Alabama,Yiddish,0
1,Alabama,Dutch,378
1,Alabama,Afrikaans,0
1,Alabama,Swedish,77
1,Alabama,Danish,0
1,Alabama,Norwegian,0
1,Alabama,Italian,915
1,Alabama,French,4118
1,Alabama,Cajun French,0
1,Alabama,Spanish,63231
1,Alabama,Portuguese,808
1,Alabama,Romanian,504
1,Alabama,Irish,0
1,Alabama,Greek,622
1,Alabama,Albanian,0
1,Alabama,Russian,1087
1,Alabama,Ukrainian,251
1,Alabama,Czech,128
1,Alabama,Slovak,0
1,Alabama,Polish,0
1,Alabama,Bulgarian,0
1,Alabama,Macedonian,0
1,Alabama,Serbocroatian,0
1,Alabama,Bosnian,75
1,Alabama,Croatian,84
1,Alabama,Serbian,0
1,Alabama,Lithuanian,0
1,Alabama,Latvian,0
1,Alabama,Armenian,0
1,Alabama,Farsi,750
1,Alabama,Dari,0
1,Alabama,Kurdish,48
1,Alabama,Pashto,63
1,Alabama,India N.E.C.,346
1,Alabama,Hindi,1586
1,Alabama,Urdu,730
1,Alabama,Bengali,431
1,Alabama,Punjabi,506
1,Alabama,Konkani,0
1,Alabama,Marathi,88
1,Alabama,Gujarati,1361
1,Alabama,Nepali,146
1,Alabama,Pakistan N.E.C.,0
1,Alabama,Sinhala,0
1,Alabama,Other Indo-Iranian languages,70
1,Alabama,Other Indo-European languages,72
1,Alabama,Finnish,107
1,Alabama,Hungarian,173
1,Alabama,Turkish,165
1,Alabama,Mongolian,0
1,Alabama,Telugu,896
1,Alabama,Kannada,0
1,Alabama,Malayalam,89
1,Alabama,Tamil,145
1,Alabama,Khmer,0
1,Alabama,Vietnamese,3917
1,Alabama,Chinese,3927
1,Alabama,Mandarin,1075
1,Alabama,Min Nan Chinese,151
1,Alabama,Cantonese,67
