Language,Translation,Filename,DriveID
spanish,Would you like to dance with me?,Spanish_DanceWithMe.mp3,1VenLx-xRaV8t_bcF7al54PQuJ5Sr1Gmh
afrikaans,How are you?,Afrikaans_HowAreYou.mp3,148n0kW4Fi0zt0B5QUXsCCg2psLAfyrTG
albanian,Long time no see,Albanian_longtimenosee_sq-gheg.mp3,1wk_QcrL7Ad875qt-piq5Dnk00nQbaXm0
amharic,Where are you from?,Amharic_wherefrom1_am.mp3,1OFWsJZEqU7Z8XSKMdzT1IuoqZRWSV5Ul
arabic,Good afternoon,Arabic_goodafternoon_ar.mp3,1uzpka3IuM4lVXSdcBNN_GpAYLQcTVPMR
bengali,What's your name?,Bengali_name2_bn.mp3,1QCtVvWnK1VIQCgJw-rwz157XUfg7O99D
bosnian,Thank you,Bosnian_thanks_bo.mp3,1XVmn77wJeHc8uCYulNrbtDkT1lEQQ60S
mandarin,How much is this?,Mandarin_howmuch_mandarin.mp3,1vf6tPc5qOfxyzzZjtv4OiENQaOSqmV0N
japanese,Good morning,Japanese_goodmorning1_jp.mp3,1Yhdy_cXOSAgQMwXENBRMKO07fR8vYTbn
italian,Pleased to meet you,Italian_meet2_it.mp3,1OD33uHt99WwoWcG2odEz3PwKTi5B5YnM
french,What's your name?,French_name1_fr.mp3,1XUh_9kFcf_ktmCrHQE1aUn4qS8TYdsA0
german,Pleased to meet you,German_meet2_de.mp3,1B4M7yTN0aIK5Z_rhZiIeLLIJ_x3Ej5cH
irish,Long time no see,Irish_longtimenosee_ga.mp3,1yxUe1P2MhFFXHQBsMBtE7E-NH0jyHXK2
hawaiian,Pleased to meet you,Hawaiian_meet_hawaiian.mp3,1GfsplIUknv4uC7DwprOoobHPSz70SJq1
korean,What's your name?,Korean_name1_kr.mp3,1xUNBA6StOEQLcTWJq-soDAbiTtK8wvKl
tagalog,Happy Birthday!,Tagalog_birthday_tagalog.mp3,1Nc6OroTyt5mqex9Y3Q36AP0JH6XxAOZ_
turkish,Pleased to meet you,Turkish_meet_tr.mp3,1yN_CWSub_rnn5jU4GdeneDh2sUZhMmIG
thai,My hovercraft is full of eels,Thai_hovercraft_th.mp3,1cTIkSbJnLRNFmGuESawoE-639Rd1AmFK
vietnamese,Have a good journey!,Vietnamese_bonvoyage1_th.mp3,12x-PplfBuJ7bctafxOUsgyJ8OlzbzXvT
russian,How are you?,Russian_howareyou2_ru.mp3,11oS-1ThaNAfsF0SZxNwIor1PS-Z8ry-e
