Language,NumberOfSpeakers,SpeakEnglishLessThanVeryWell,ISO
Speak only English at home,231122908,(X),
Spanish,37458470,16344440,spa
Ladino,130,25,lad
Pachuco,(D),(D),
French,1253560,258730,fra
Patois,32900,4695,
Cajun,21285,2695,
French Creole,739725,323689,
Italian,708966,191724,ita
Portuguese,692500,269615,por
Papia Mentae,970,190,
German,1063275,174735,deu
Luxembourgian,500,25,
Yiddish,155582,53116,ydd
Pennsylvania Dutch,133190,44075,
Dutch,141580,25030,nld
Afrikaans,23010,1885,afr
Frisian,510,120,frs
Swedish,55735,5045,swe
Danish,28285,3030,dan
Norwegian,39430,4675,nob
Icelandic,4865,565,isl
Faroese,30,(B),fao
Greek,304932,75799,
Russian,879434,416526,rus
Polish,580153,235241,pol
Serbocroatian,144675,62965,hrv
Croatian,53040,15930,
Serbian,70260,24540,
Bielorussian,1805,1035,
Ukrainian,152325,71915,ukr
Czech,47385,11235,ces
Lusatian,(D),(B),
Slovak,27930,7125,slk
Bulgarian,57785,19455,bul
Macedonian,22885,8125,mkd
Slovene,6370,1705,slv
Armenian,237840,106794,hye
Persian,391113,144876,pes
Hindi,643337,132631,hin
Gujarati,373253,132572,guj
Urdu,397502,116566,urd
Bengali,257740,105180,ben
Panjabi,253740,104750,pan
Marathi,73630,10525,mar
Bihari,595,260,
Rajasthani,715,215,
Oriya,5385,910,ori
Assamese,1305,100,asm
Kashmiri,1775,285,kas
Nepali,94220,56650,nep
Sindhi,8965,1775,snd
Sinhalese,26745,8350,
Romany,1555,480,
Jamaican Creole,21965,5965,jam
Krio,10560,2820,
Hawaiian Pidgin,365,30,
Pidgin,4445,1100,
Gullah,385,150,
Saramacca,35,(B),
Catalonian,2325,500,
Romanian,154625,55550,ron
Rhaeto-Romanic,(D),(B),
Welsh,2235,235,cym
Irish Gaelic,20590,2505,
Scottic Gaelic,1635,190,
Albanian,133870,58820,aln
Lithuanian,39790,12370,lit
Latvian,16035,3300,lav
Pashto,22760,9840,pst
Kurdish,17020,6870,
Balochi,185,85,
Tadzhik,435,350,
Ossete,50,(D),
Chinese,1867485,1054885,cmn
Hakka,1350,840,hak
"Kan, Hsiang",50,(D),
Cantonese,458840,257625,yue
Mandarin,487250,240810,cmn
Fuchow,1450,1175,cdo
Formosan,77675,44140,
Wu,2670,1375,
Japanese,449475,194436,jpn
Korean,1117343,617905,kor
"Mon-Khmer, Cambodian",212167,109633,khm
Hmong,214943,92861,mww
Thai,152649,79746,tha
Laotian,152647,75885,
Vietnamese,1399936,839237,vie
Karakalpak,(D),(B),kaa
Kazakh,1480,750,kaz
Kirghiz,550,305,kir
Karachay,420,140,
Uighur,8905,5895,uig
Azerbaijani,2085,1025,azb
Turkish,116515,43495,tur
Turkmen,205,75,tuk
Mongolian,10180,5430,
Tungus,235,120,
Dravidian,1150,160,
Gondi,1470,270,ggo
Telugu,247760,51635,tel
Kannada,48620,7425,kan
Malayalam,146310,41535,mal
Tamil,190685,33885,tam
Munda,2030,235,
Burushaski,95,(D),bsk
Tibetan,16730,9735,bod
Burmese,62645,44530,mya
Karen,30185,26440,bwe
Kachin,520,415,
Mien,19010,8220,ium
Paleo-siberian,530,385,
Tagalog,1613346,516522,tgl
Indonesian,67410,29400,ind
Achinese,(D),(D),ace
Balinese,795,160,ban
Cham,1050,500,
Javanese,495,135,jav
Malagasy,720,225,plt
Malay,14580,4910,zsm
Minangkabau,15,(D),min
Sundanese,35,35,sun
Bisayan,29800,11505,
Sebuano,15700,4935,
Pangasinan,2265,1115,pag
Ilocano,85755,47250,ilo
Bikol,695,200,bcl
Pampangan,5620,2460,
Micronesian,7830,3435,
Carolinian,945,545,cal
Chamorro,19780,3195,cha
Gilbertese,170,85,
Kusaiean,1165,445,
Marshallese,18485,9545,mah
Mokilese,500,190,mkj
Mortlockese,(D),(D),
Nauruan,(D),(D),nau
Palau,4140,1290,
Ponapean,3525,1495,
Trukese,8790,5200,
Ulithean,40,(D),
Woleai-Ulithi,140,(D),
Yapese,720,350,yap
Melanesian,1305,295,
Polynesian,435,160,
Samoan,64135,16905,smo
Tongan,31440,8855,ton
Niuean,(D),(B),niu
Tokelauan,125,(D),tkl
Fijian,5755,1360,fij
Marquesan,135,(B),mrq
Rarotongan,95,(B),
Maori,460,145,mri
Nukuoro,210,85,nkr
Hawaiian,26205,4280,haw
Navajo,166826,35250,nav
Aleut,995,170,ale
Pacific Gulf Yupik,70,(B),
Eskimo,1270,265,
Inupik,6740,1365,
Yupik,19750,5930,
Algonquian,1030,265,alq
Arapaho,1065,50,arp
Atsina,55,(B),
Blackfoot,1450,65,bla
Cheyenne,1920,175,chy
Cree,870,190,
Delaware,240,60,
Fox,400,75,sac
Kickapoo,820,220,kic
Menomini,405,85,mez
French Cree,170,120,
Miami,115,55,
Micmac,205,40,mic
Ojibwa,9735,1110,
Ottawa,965,155,
Passamaquoddy,845,55,
Penobscot,75,(D),
Abnaki,55,(D),
Potawatomi,985,60,pot
Shawnee,255,(D),sjw
Yurok,350,25,yur
Kutenai,215,(D),kut
Makah,150,80,myh
Kwakiutl,175,(D),
Nootka,(D),(B),
Upper Chehalis,4,(D),
Clallam,145,(D),clm
Coeur d'Alene,95,(B),crd
Columbia,(D),(B),
Salish,1350,100,
Okanogan,230,110,
Puget Sound Salish,215,(D),
Quinault,145,(D),
Tillamook,(D),(B),til
Twana,(D),(D),twa
Haida,180,(D),hax
Athapascan,1265,170,
Ahtena,45,(D),
Han,60,40,
Ingalit,15,(D),
Koyukon,65,(D),koy
Kuchin,1285,305,
Upper Kuskokwim,(D),(B),kuu
Tanaina,90,(D),tfn
Tanana,(D),(B),
Upper Tanana,(D),(B),
Chasta Costa,165,(D),
Hupa,70,(B),hup
Apache,13445,1595,
Kiowa,750,30,kio
Tlingit,1240,130,tli
Mountain Maidu,200,(D),
Northwest Maidu,(D),(B),
Southern Maidu,(D),(B),
Sierra Miwok,155,(B),
Nomlaki,(D),(D),
Patwin,4,(B),wit
Wintun,135,40,
Foothill North Yokuts,225,85,
Tachi,(D),(B),
Santiam,55,(D),
Siuslaw,10,(D),sis
Klamath,205,(D),kla
Nez Perce,805,40,nez
Sahaptian,1295,110,
Upper Chinook,270,50,
Tsimshian,40,15,
Achumawi,(D),(D),acv
Atsugewi,(D),(B),atw
Karok,445,100,kyh
Pomo,485,70,
Washo,215,45,was
Cocomaricopa,35,(B),
Mohave,200,35,mov
Yuma,290,80,
Diegueno,295,40,
Delta River Yuman,365,10,
Havasupai,145,4,yuf
Walapai,300,4,
Yavapai,245,20,yuf
Chumash,(D),(B),
Tonkawa,50,(D),tqw
Yuchi,165,(B),yuc
Crow,4160,215,cro
Hidatsa,625,50,hid
Mandan,75,20,mhq
Dakota,17855,1330,dak
