Language	NumberOfSpeakers	SpeakEnglishLessThanVeryWell	ISO_2
Abenaki	55	(D)	
Achinese	(D)	(D)	
Achumawi	(D)	(D)	
Afrikaans	23010	1885	
Ahtena	45	(D)	
Alabama	370	70	
Albanian	133870	58820	
Aleut	995	170	
Algonquian	1030	265	
American Indian	7110	1175	
Amharic	195260	81385	
Apache	13445	1595	
Arabic	924374	341425	
Arapaho	1065	50	
Arawakian	3150	925	
Arikara	155	40	
Armenian	237840	106794	
Assamese	1305	100	
Athapascan	1265	170	
Atsina	55	(B)	
Atsugewi	(D)	(B)	
Azerbaijani	2085	1025	
Aztecan	720	400	
Balinese	795	160	
Balochi	185	85	
Bantu	56685	16635	
Basque	1860	635	
Bengali	257740	105180	
Berber	2940	1630	
Bielorussian	1805	1035	
Bihari	595	260	
Bikol	695	200	
Bisayan	29800	11505	
Blackfoot	1450	65	
Bulgarian	57785	19455	
Burmese	62645	44530	
Burushaski	95	(D)	
Caddo	115	(B)	
Cahuilla	60	(B)	
Cajun	21285	2695	
Cantonese	458840	257625	
Carolinian	945	545	
Catalonian	2325	500	
Cayuga	(D)	(B)	
Chadic	8565	2275	
Cham	1050	500	
Chamorro	19780	3195	
Chasta Costa	165	(D)	
Chemehuevi	(D)	(B)	
Cherokee	11465	1460	
Chetemacha	65	(D)	
Cheyenne	1920	175	
Chibchan	1095	865	
Chinese	1867485	1054885	
Chinook Jargon	45	(D)	
Chiricahua	155	20	
Chiwere	105	25	
Choctaw	9635	1425	
Chumash	(D)	(B)	
Clallam	145	(D)	
Cocomaricopa	35	(B)	
Coeur d'Alene	95	(B)	
Columbia	(D)	(B)	
Comanche	1015	90	
Cree	870	190	
Croatian	53040	15930	
Crow	4160	215	
Cupeno	20	(D)	
Cushite	122445	59495	
Czech	47385	11235	
Dakota	17855	1330	
Danish	28285	3030	
Delaware	240	60	
Delta River Yuman	365	10	
Diegueno	295	40	
Dravidian	1150	160	
Dutch	141580	25030	
Efik	5620	905	
Eskimo	1270	265	
Estonian	6035	1335	
