Location	Language	NumberOfSpeakers	MarginOfError	SpeakEnglishLessThanVeryWell	MarginOfError
Akron, OH	Population 5 years and over	666042	15	13039	905
Akron, OH	Speak only English at home	629220	1544	(X)	(X)
Akron, OH	Speak a language other than English at home	36822	1543	13039	905
Akron, OH	SPANISH AND SPANISH CREOLE	8060	740	2514	397
Akron, OH	Spanish	8060	740	2515	397
Akron, OH	OTHER INDO-EUROPEAN LANGUAGES	15040	1213	4521	634
Akron, OH	French (incl Patois, Cajun)	1415	290	189	83
Akron, OH	French	1415	290	190	83
Akron, OH	French Creole	35	47	27	45
Akron, OH	Italian	1345	244	387	123
Akron, OH	Portuguese (incl Portuguese Creole)	79	56	23	26
Akron, OH	Portuguese	80	56	25	26
Akron, OH	German (incl Luxembourgian)	2437	365	360	130
Akron, OH	German	2435	365	360	130
Akron, OH	Yiddish	7	12	(B)	--
Akron, OH	Other West Germanic languages	497	197	82	74
Akron, OH	Pennsylvania Dutch	255	142	30	27
Akron, OH	Dutch	210	125	55	69
Akron, OH	Afrikaans	(D)	(D)	(B)	--
Akron, OH	Scandinavian languages	112	62	18	28
Akron, OH	Swedish	60	50	(D)	(D)
Akron, OH	Danish	(D)	(D)	(B)	--
Akron, OH	Norwegian	(D)	(D)	(B)	--
Akron, OH	Greek	554	178	144	79
Akron, OH	Russian	906	292	564	203
Akron, OH	Polish	516	186	59	43
Akron, OH	Serbo-Croatian languages	1664	505	516	189
Akron, OH	Serbocroatian	555	296	180	132
Akron, OH	Croatian	180	125	40	27
Akron, OH	Serbian	930	350	295	131
Akron, OH	Other Slavic languages	677	236	163	67
Akron, OH	Ukrainian	260	145	55	40
Akron, OH	Czech	90	61	35	38
Akron, OH	Slovak	80	53	(D)	(D)
Akron, OH	Bulgarian	85	101	(D)	(D)
Akron, OH	Macedonian	75	60	(D)	(D)
Akron, OH	Slovene	90	64	(D)	(D)
Akron, OH	Armenian	47	51	25	37
Akron, OH	Persian	212	143	65	74
Akron, OH	Hindi	1184	449	132	73
Akron, OH	Gujarati	394	160	168	90
Akron, OH	Urdu	79	78	14	20
Akron, OH	Other Indic languages	1992	634	1337	508
Akron, OH	India nec3	100	135	(D)	(D)
Akron, OH	Bengali	210	138	65	62
Akron, OH	Panjabi	700	342	415	240
Akron, OH	Marathi	50	53	(B)	--
Akron, OH	Nepali	800	397	680	359
Akron, OH	Sinhalese	130	132	110	126
Akron, OH	Other Indo-European languages	888	337	248	126
Akron, OH	Jamaican Creole	(D)	(D)	(B)	--
Akron, OH	Krio	(D)	(D)	(B)	--
Akron, OH	Romanian	325	154	155	83
Akron, OH	Irish Gaelic	195	204	(D)	(D)
Akron, OH	Albanian	255	246	85	99
Akron, OH	Lithuanian	(D)	(D)	(B)	--
Akron, OH	Latvian	75	71	(B)	--
Akron, OH	ASIAN AND PACIFIC ISLAND LANGUAGES	9148	758	4579	558
Akron, OH	Chinese (incl Cantonese, Mandarin, other Chinese languages4)	3441	529	1778	383
Akron, OH	Chinese	2800	501	1475	337
Akron, OH	Hakka	80	124	80	124
Akron, OH	Cantonese	130	81	(D)	(D)
Akron, OH	Mandarin	405	141	210	113
Akron, OH	Formosan	(D)	(D)	(B)	--
Akron, OH	Japanese	515	149	118	65
Akron, OH	Korean	1132	345	682	284
Akron, OH	Mon-Khmer, Cambodian	150	130	105	95
Akron, OH	Hmong	304	248	98	87
Akron, OH	Thai	242	146	128	94
Akron, OH	Laotian	436	196	232	117
Akron, OH	Vietnamese	1119	540	614	310
Akron, OH	Other Asian languages	1116	340	590	301
Akron, OH	Turkish	180	114	120	92
Akron, OH	Telugu	160	116	70	91
Akron, OH	Kannada	135	131	(D)	(D)
Akron, OH	Malayalam	20	28	(B)	--
Akron, OH	Tamil	205	146	(D)	(D)
Akron, OH	Burmese	55	51	55	51
Akron, OH	Karen	355	286	335	258
Akron, OH	Tagalog	535	193	161	83
