Location	Language	NumberOfSpeakers	MarginOfError	SpeakEnglishLessThanVeryWell	MarginOfError
"Boston-Cambridge-Newton, MA-NH"	Abenaki	(D)	(D)	(D)	(D)
"Chicago-Naperville-Elgin, IL-IN-WI"	Achinese	(D)	(D)	(D)	(D)
"San Diego-Carlsbad, CA"	Achumawi	(D)	(D)	(D)	(D)
"Portland-Vancouver-Hillsboro, OR-WA"	African	25	30	(D)	(D)
"St. Louis, MO-IL"	African	30	30	25	29
"Charlotte-Concord-Gastonia, NC-SC"	African	35	39	(D)	(D)
"Baltimore-Columbia-Towson, MD"	African	45	43	(D)	(D)
"Oklahoma City, OK"	African	45	48	(D)	(D)
"Raleigh, NC"	African	45	41	(D)	(D)
"San Antonio-New Braunfels, TX"	African	45	48	(D)	(D)
"Vallejo-Fairfield, CA"	African	45	62	(D)	(D)
"Cleveland-Elyria, OH"	African	50	53	(D)	(D)
"Hartford-West Hartford-East Hartford, CT"	African	50	57	(D)	(D)
"Pittsburgh, PA"	African	55	65	55	65
"Louisville/Jefferson County, KY-IN"	African	60	80	(D)	(D)
"New Orleans-Metairie, LA"	African	60	48	(D)	(D)
"Denver-Aurora-Lakewood, CO"	African	65	58	(D)	(D)
"Miami-Fort Lauderdale-West Palm Beach, FL"	African	75	69	(B)	--
"Providence-Warwick, RI-MA"	African	75	56	(D)	(D)
"San Jose-Sunnyvale-Santa Clara, CA"	African	75	69	(B)	--
"Seattle-Tacoma-Bellevue, WA"	African	75	53	40	39
"Detroit-Warren-Dearborn, MI"	African	85	73	70	68
"Kansas City, MO-KS"	African	90	87	(B)	--
"Orlando-Kissimmee-Sanford, FL"	African	90	85	(D)	(D)
"Bridgeport-Stamford-Norwalk, CT"	African	100	89	35	34
"Riverside-San Bernardino-Ontario, CA"	African	100	94	45	73
"Sacramento--Roseville--Arden-Arcade, CA"	African	100	90	35	39
"Columbus, OH"	African	105	86	(D)	(D)
"Minneapolis-St. Paul-Bloomington, MN-WI"	African	105	98	100	98
"Worcester, MA-CT"	African	105	80	75	61
"Rochester, NY"	African	135	145	100	117
"Indianapolis-Carmel-Anderson, IN"	African	190	207	(D)	(D)
"Phoenix-Mesa-Scottsdale, AZ"	African	190	159	90	75
"Washington-Arlington-Alexandria, DC-VA-MD-WV"	African	195	105	40	33
"Boston-Cambridge-Newton, MA-NH"	African	205	143	60	79
"Greensboro-High Point, NC"	African	230	287	190	219
"San Francisco-Oakland-Hayward, CA "	African	265	281	(D)	(D)
"Las Vegas-Henderson-Paradise, NV"	African	340	196	225	129
"Los Angeles-Long Beach-Anaheim, CA"	African	370	202	70	62
"Atlanta-Sandy Springs-Roswell, GA "	African	395	258	110	123
"Chicago-Naperville-Elgin, IL-IN-WI"	African	470	410	360	407
"Dallas-Fort Worth-Arlington, TX"	African	670	293	105	113
"Houston-The Woodlands-Sugar Land, TX"	African	780	256	355	211
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	African	890	351	190	116
"New York-Newark-Jersey City, NY-NJ-PA"	African	2620	559	830	325
"Albany-Schenectady-Troy, NY"	African	(D)	(D)	(B)	--
"Albuquerque, NM"	African	(D)	(D)	(B)	--
"Allentown-Bethlehem-Easton, PA-NJ"	African	(D)	(D)	(B)	--
"Atlantic City-Hammonton, NJ"	African	(D)	(D)	(B)	--
"Buffalo-Cheektowaga-Niagara Falls, NY"	African	(D)	(D)	(B)	--
"Cincinnati, OH-KY-IN"	African	(D)	(D)	(D)	(D)
"Deltona-Daytona Beach-Ormond Beach, FL"	African	(D)	(D)	(D)	(D)
"Jacksonville, FL"	African	(D)	(D)	(B)	--
"Madison, WI"	African	(D)	(D)	(D)	(D)
"Memphis, TN-MS-AR"	African	(D)	(D)	(B)	--
"Milwaukee-Waukesha-West Allis, WI "	African	(D)	(D)	(D)	(D)
"New Haven-Milford, CT"	African	(D)	(D)	(D)	(D)
"Salinas, CA"	African	(D)	(D)	(B)	--
"San Diego-Carlsbad, CA"	African	(D)	(D)	(B)	--
"Springfield, MA"	African	(D)	(D)	(D)	(D)
"Syracuse, NY"	African	(D)	(D)	(B)	--
"Tampa-St. Petersburg-Clearwater, FL"	African	(D)	(D)	(D)	(D)
"Trenton, NJ"	African	(D)	(D)	(B)	--
"Virginia Beach-Norfolk-Newport News, VA-NC "	African	(D)	(D)	(B)	--
"Hilo, HI"	African languages	8	12	4	6
"Farmington, NM"	African languages	36	56	12	20
"Kahului-Wailuku-Lahaina, HI"	African languages	38	38	(B)	--
"Naples-Immokalee-Marco Island, FL "	African languages	66	101	(B)	--
