Table	Location	Latitude	Longitude
1	Akron, OH	41.081444	-81.519005
2	Albany-Schenectady-Troy, NY	42.745522	-73.816521
3	Albuquerque, NM	35.084385	-106.650421
4	Allentown-Bethlehem-Easton, PA-NJ	40.65015	-75.338242
5	Anchorage, AK	61.218056	-149.900284
6	Ann Arbor, MI	42.2681569	-83.7312291
7	Atlanta-Sandy Springs-Roswell, GA	34.002468	-84.180717
8	Atlantic City-Hammonton, NJ	39.61015	-74.82284
9	Austin-Round Rock, TX	30.46031	-97.65799
10	Bakersfield, CA	35.373291	-119.018715
11	Baltimore-Columbia-Towson, MD	39.401859	-76.605049
12	Baton Rouge, LA	30.451468	-91.187149
13	Boston-Cambridge-Newton, MA-NH	42.356709	-71.158096
14	Bridgeport-Stamford-Norwalk, CT	41.04858	-73.453423
15	Buffalo-Cheektowaga-Niagara Falls, NY	42.95808	-78.82383
16	Cape Coral-Fort Myers, FL	26.79986	-81.829689
17	Charlotte-Concord-Gastonia, NC-SC	35.403839	-80.86142
18	Chicago-Naperville-Elgin, IL-IN-WI	42.24124385	-87.85252261
19	Cincinnati, OH-KY-IN	39.08136685	-84.44479858
20	Cleveland-Elyria, OH	41.36827157	-82.10717888
21	Colorado Springs, CO	38.8320219	-104.8179547
22	Columbus, OH	39.96168594	-83.00330923
23	Dallas-Fort Worth-Arlington, TX	32.74875523	-96.89508364
24	Dayton, OH	39.75960644	-84.19082827
25	Deltona-Daytona Beach-Ormond Beach, FL	29.06655829	-81.26428124
26	Denver-Aurora-Lakewood, CO	39.56027314	-104.8372224
27	Des Moines-West Des Moines, IA	41.56410183	-93.76247011
28	Detroit-Warren-Dearborn, MI	42.33144623	-83.06151977
29	Durham-Chapel Hill, NC	35.91913109	-79.04342909
30	Farmington, NM	36.74285223	-108.1899186
31	Fresno, CA	36.73869361	-119.7870174
32	Grand Rapids-Wyoming, MI	42.91334237	-85.70315035
33	Greensboro-High Point, NC	35.9550176	-80.00083742
34	Harrisburg-Carlisle, PA	40.33841295	-77.1022484
35	Hartford-West Hartford-East Hartford, CT	41.76073129	-72.6809816
36	Hilo, HI	19.72437505	-155.0874474
37	Houston-The Woodlands-Sugar Land, TX	29.76096705	-95.39401418
38	Indianapolis-Carmel-Anderson, IN	39.76179858	-86.12589716
39	Jacksonville, FL	30.33075667	-81.66778601
40	Kahului-Wailuku-Lahaina, HI	20.88884298	-156.4654442
41	Kansas City, MO-KS	39.1054386	-94.5716345
42	Lafayette, LA	30.24565355	-92.00987983
43	Lancaster, PA	40.03681236	-76.30345798
44	Lansing-East Lansing, MI	42.73253509	-84.48580461
